belongs_to_collection,genres,original_language,overview,popularity,production_companies,release_date,revenue,spoken_languages,title,vote_average,vote_count,release_year,return,cast,director
Penitenciaría - Colección,"['Action', 'Drama']",en,"A hitchhiker named Martel Gordone gets in a fight with two bikers over a prostitute, and one of the bikers is killed. Gordone is arrested and sent to prison, where he joins the prison's boxing team in an effort to secure an early parole and to establish his dominance over the prison's toughest gang.",0.232477,[],1979-12-01,0.0,['English'],Penitentiary,4.9,8.0,1979,0.0,"[""Wilbur 'Hi-Fi' White"", 'Leon Isaac Kennedy', 'Thommy Pollard ', 'Hazel Spears ', 'Donovan Womack ', ""Floyd 'Wildcat' Chatman "", 'Gloria Delaney ', 'Badja Djola', 'Chuck Mitchell ', 'Cepheus Jaxon ', 'Dwaine Fobbs ', 'Ernest Wilson ', 'Will Richardson ', 'Elijah Mitchell ', 'Tony Andrea ']",Jamaa Fanaka
Penitenciaría - Colección,"['Action', 'Thriller']",fr,"An ex-con, on parole and trying to straighten his life out, decides to resume his boxing career when one of his prison enemies escapes and kills his girlfriend.",0.004425,[],1982-04-02,0.0,['English'],Penitentiary II,3.0,1.0,1982,0.0,"['Gerald Berns', 'Peggy Blow ', 'Malik Carter ', 'Tony Cox', 'Ernie Hudson', 'Cepheus Jaxon ', 'Marvin Jones', 'Stan Kamber', 'Sephton Moody', 'Archie Moore', 'Mr. T', 'Hawthorne James', 'Leon Isaac Kennedy', 'Rudy Ray Moore']",Jamaa Fanaka
Omega Code Series,"['Horror', 'Thriller']",en,"In this spiritual thriller, an ancient prophecy is about to be fulfilled as a secret code brings the world to the edge of Apocalypse. Gillen Lane (Casper Van Dien) is a expert on theology and mythology who has gained international fame as a motivational speaker.",1.789046,['Code Productions'],1999-10-15,2400000.0,"['English', 'Italiano']",The Omega Code,4.4,17.0,1999,0.0,"['Casper Van Dien', 'Michael York', 'Catherine Oxenberg', 'Michael Ironside', 'Jan Tříska']",Robert Marcarelli
Bats Collection,"['Horror', 'Thriller']",en,Genetically mutated bats escape and it's up to a bat expert and the local sheriff to stop them.,2.584025,['Destination Films'],1999-10-22,10.0,['English'],Bats,4.1,35.0,1999,0.0,"['Lou Diamond Phillips', 'Dina Meyer', 'Bob Gunton', 'Leon Robinson', 'Carlos Jacott', 'David McConnell', 'Marcia Dangerfield', 'Oscar Rowland', 'Juliana Johnson', 'Ned Bellamy', 'George Gerdes', 'James Sie']",Louis Morneau
The Best Man Collection,"['Drama', 'Comedy']",en,"Harper, a writer who's about to explode into the mainstream leaves behind his girlfriend Robin and heads to New York City to serve as best man for his friend Lance's wedding. Once there, he reunites with the rest of his college circle.",5.055141,"['Universal Pictures', '40 Acres & A Mule Filmworks']",1999-10-22,34573780.0,['English'],The Best Man,6.8,38.0,1999,3.8415311111111112,"['Nia Long', 'Моррис Честнат', 'Harold Perrineau', 'Terrence Howard', 'Sanaa Lathan', 'Taye Diggs', 'Regina Hall', 'Monica Calhoun']",Malcolm D. Lee
Harry Palmer Collection,['Thriller'],en,"This espionage thriller represents a landmark in spy movies introducing the sly, dry intelligence agent Harry Palmer. The story, centers on Palmer's investigation into British Intelligence security. He's soon enmeshed in a world of double-dealing, kidnap and murder and finds a traitor is operating at the heart of the secret service. Will the mysterious 'Ipcress File' reveal who the traitor is?",7.336578,"['The Rank Organisation', 'Lowndes Productions Limited', 'Steven S.A.']",1965-03-18,0.0,"['shqip', 'English']",The Ipcress File,6.8,84.0,1965,0.0,"['Michael Caine', 'Nigel Green', 'Guy Doleman', 'Sue Lloyd', 'Gordon Jackson', 'Aubrey Richards', 'Frank Gatliff', 'Thomas Baptiste', 'Oliver MacGreevy', 'Freda Bamford', 'Pauline Winter', 'Anthony Blackshaw', 'Barry Raymond', 'David Glover', 'Stanley Meadows']",Sidney J. Furie
On Any Sunday Collection,['Documentary'],en,"Documentary on motorcycle racing featuring stars of the sport, including film star Steve McQueen, a racer in his own right.",0.934156,"['Monterey Films', 'Bruce Brown Films']",1971-07-28,0.0,['English'],On Any Sunday,6.9,7.0,1971,0.0,"['Steve McQueen', 'Bruce Brown', 'David Evans', 'Mert Lawwill', 'Malcolm Smith', 'J. N. Roberts']",Bruce Brown
RoboCop Collection,"['Action', 'Thriller', 'Science Fiction']",en,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",13.485583,['Orion Pictures'],1987-07-17,53000000.0,['English'],RoboCop,7.1,1494.0,1987,4.076923076923077,"['Peter Weller', 'Nancy Allen', 'Ronny Cox', 'Kurtwood Smith', 'Miguel Ferrer', 'Ray Wise', 'Felton Perry', 'Paul McCrane', 'Jesse D. Goins', 'Robert DoQui', ""Dan O'Herlihy"", 'Sage Parker', 'Stephen Berrier', 'John S. Davies', 'Tyress Allen', 'Yolanda Williams', 'Ken Page', 'Charles Carroll', 'Gregory Poudevigne', 'Gene Wolande', 'Fred Hice', 'Michael Gregory', 'Lee de Broux', 'Rick Lieberman', 'Calvin Jung', 'Del Zamora', 'Karen Radcliffe', 'Darryl Cox', 'Jerry Haynes', 'Bill Schockley', 'Donna Keegan', 'Mike Moroff', 'Marjorie Rynearson', 'Jo Livingston', 'Joan Pirkle', 'Diane Robin', 'Adrianne Sachs', 'Maarten Goslins', 'Angie Bolling', 'Jason Levine', 'S.D. Nemeth', 'Bill Farmer', 'Michael Hunter', 'Spencer Prokop', 'L.J. King', 'David Packer', 'Leeza Gibbons', 'Mario Machado', 'Laird Stuart', 'Neil Summers', 'Edward Edwards']",Paul Verhoeven
RoboCop Collection,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']",en,"After a successful deployment of the Robocop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the Robocop 2 project, a living God.",10.969876,['Orion Pictures'],1990-06-22,45681173.0,['English'],RoboCop 2,5.6,498.0,1990,1.3051763714285713,"['Peter Weller', 'Nancy Allen', 'Tom Noonan', 'Belinda Bauer', 'Willard E. Pugh', ""Dan O'Herlihy"", 'Felton Perry', 'Gabriel Damon', 'Galyn Görg', 'Mario Machado', 'Leeza Gibbons', 'Wanda De Jesus', 'John Glover', 'John Ingle', 'Roger Aaron Brown', 'Mark Rolston', 'Lila Finn', 'John Hateley', 'Gage Tarrant', 'Tommy Rosales', 'Angie Bolling', 'Wallace Merck', 'Michael Medeiros', 'Clinton Austin Shirley', 'Linda Thompson', 'Lily Chen', 'Adam Faraizl', 'Erik Cord', 'George Cheung', 'Eric Glenn', 'Stephen Lee', 'Jo Perkins', 'Richard Reyes', 'John Doolittle', 'Phil Rubenstein', 'Gary Bullock', 'Ed Geldhart', 'David Dwyer', 'Justin Seidner', 'Bill Bolender', 'Fabiana Udenio', 'Wayne De Hart', 'Cynthia Mackey', 'James McQueen', 'Yogi Baird', 'Jerry Nelson', 'Michael Weller', 'Woody Watson', 'Rutherford Cravens', 'Christopher Quinten', 'Martin Casella', 'Ken Learner', 'Jeff McCarthy', 'Robert DoQui', 'Tzi Ma', 'Charles Bailey', 'Brandon Smith']",Irvin Kershner
James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,9.765123,"['United Artists', 'Eon Productions']",1981-06-23,195312802.0,"['ελληνικά', 'English', 'Italiano']",For Your Eyes Only,6.3,497.0,1981,6.975457214285714,"['Roger Moore', 'Carole Bouquet', 'Chaim Topol', 'Lynn-Holly Johnson', 'Julian Glover', 'Cassandra Harris', 'Jill Bennett', 'Michael Gothard', 'John Wyman', 'Jack Hedley', 'Lois Maxwell', 'Desmond Llewelyn', 'Geoffrey Keen', 'Walter Gotell', 'James Villiers', 'John Moreno', 'Charles Dance', 'Paul Angelis', 'Toby Robins', 'Jack Klaff', 'Alkis Kritikos', 'Stag Theodore', 'Stefan Kalipha', 'Graham Crowden', 'Noel Johnson', 'William Hoyland', 'Paul Brooke', 'Fred Bryant', 'Robbin Young', 'Graham Hawkes', 'John Wells', 'Janet Brown', 'Maureen Bennett', 'Andy Bradford', 'Jeremy Bulloch', 'Clive Curtis', 'Lalla Dean', 'Evelyn Drogue', 'Sheena Easton', 'Eva Rueber-Staier']",John Glen
James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,11.137888,['Eon Productions'],1989-07-07,156167015.0,"['English', 'Español']",Licence to Kill,5.9,549.0,1989,4.88021921875,"['Timothy Dalton', 'Carey Lowell', 'Robert Davi', 'Talisa Soto', 'Anthony Zerbe', 'Frank McRae', 'David Hedison', 'Wayne Newton', 'Benicio del Toro', 'Anthony Starke', 'Everett McGill', 'Desmond Llewelyn', 'Pedro Armendáriz Jr.', 'Robert Brown', 'Grand L. Bush', 'Priscilla Barnes', 'Don Stroud', 'Caroline Bliss', 'Cary-Hiroyuki Tagawa', 'Alejandro Bracho', 'Guy De Saint Cyr', 'Rafer Johnson', 'Diane Hsu', 'Christopher Neame']",John Glen
James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,9.773768,"['United Artists', 'Eon Productions', 'Danjaq']",1973-07-05,161777836.0,"['English', 'Magyar']",Live and Let Die,6.4,540.0,1973,23.111119428571428,"['Roger Moore', 'Yaphet Kotto', 'Jane Seymour', 'Clifton James', 'Julius Harris', 'Geoffrey Holder', 'David Hedison', 'Gloria Hendry', 'Bernard Lee', 'Lois Maxwell', 'Tommy Lane', 'Earl Jolly Brown', 'Lon Satton', 'Madeline Smith', 'Roy Stewart']",Guy Hamilton
James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,10.517835,"['Eon Productions', 'Metro-Goldwyn-Mayer (MGM)']",1965-12-16,141195658.0,"['English', 'Français']",Thunderball,6.5,572.0,1965,25.671937818181817,"['Sean Connery', 'Claudine Auger', 'Adolfo Celi', 'Luciana Paluzzi', 'Rik Van Nutter', 'Guy Doleman', 'Molly Peters', 'Martine Beswick', 'Bernard Lee', 'Desmond Llewelyn', 'Lois Maxwell', 'Roland Culver', 'Earl Cameron', 'Paul Stassino', 'Rose Alba', 'Philip Locke', 'George Pravda', 'Edward Underdown', 'Kevin McClory']",Terence Young
House on Haunted Hill Collection,"['Horror', 'Mystery', 'Thriller']",en,"A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",10.187278,"['Dark Castle Entertainment', 'Warner Bros.']",1999-10-29,40846082.0,['English'],House on Haunted Hill,5.5,211.0,1999,2.149793789473684,"['Geoffrey Rush', 'Famke Janssen', 'Taye Diggs', 'Peter Gallagher', 'Chris Kattan', 'Ali Larter', 'Bridgette Wilson', 'Max Perlich', 'Jeffrey Combs', 'Dick Beebe', 'Slavitza Jovan', 'Lisa Loeb', 'James Marsters', 'Jeannette Lewis', 'Janet Tracy Keijser']",William Malone
Re-Animator Collection,"['Comedy', 'Horror', 'Science Fiction']",en,"Herbert West once again revives the dead. This time, he brings Dan's ex-girlfriend's heart back inside a 'perfect' body. Dr. Hill returns as the evil nemesis who lost his head.",8.244989,['Wild Street Pictures'],1989-10-01,0.0,['English'],Bride of Re-Animator,6.1,70.0,1989,0.0,"['Jeffrey Combs', 'Bruce Abbott', 'Claude Earl Jones', 'Fabiana Udenio', 'David Gale', 'Kathleen Kinmont', 'Mel Stewart', 'Irene Forrest', 'Michael Strasser', 'Mary Sheldon', 'Johnny Legend']",Brian Yuzna
Creepshow Collection,"['Horror', 'Comedy', 'Fantasy']",en,"Inspired by the E.C. comics of the 1950s, George A.Romero and Stephen King bring five tales of terror to the screen.",10.434018,"['Warner Bros.', 'Creepshow Films Inc.', 'Laurel Entertainment Inc.']",1982-11-12,21028755.0,"['English', 'Italiano']",Creepshow,6.7,228.0,1982,2.628594375,"['Hal Holbrook', 'Adrienne Barbeau', 'Fritz Weaver', 'Leslie Nielsen', 'Carrie Nye', 'E.G. Marshall', 'Viveca Lindfors', 'Ed Harris', 'Ted Danson', 'Stephen King', 'Warner Shook', 'Gaylen Ross', 'Jon Lormer', ""Bingo O'Malley"", 'John Amplas', 'David Early', 'Iva Jean Saraceni', 'Christine Forrest', 'Tom Savini', 'Tom Atkins', 'Ann Muffly']",George A. Romero
Creepshow Collection,['Horror'],en,"EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life...to exact vengeance on the murderer of his elderly owners. In the second, four teens are stranded on a raft on a lake with a blob that is hungry. And in the third, a hit and run woman is terrorized by the hitchhiker she accidentally killed...or did she really kill him?",9.330087,"['New World Pictures', 'Laurel Entertainment Inc.']",1987-05-01,14000000.0,['English'],Creepshow 2,5.9,133.0,1987,4.0,"['George Kennedy', 'Dorothy Lamour', 'Lois Chiles', 'Tom Savini', 'Tom Wright', 'Frank Salsedo', 'Holt McCallany', 'David Holbrook', 'Don Harvey', 'Daniel Beer', 'Paul Satterfield', 'Jeremy Green', 'Page Hannah', 'David Beecroft', 'Stephen King']",Michael Gornick
Re-Animator Collection,"['Science Fiction', 'Comedy', 'Horror']",en,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,9.867238,['Empire Pictures'],1985-10-18,2023414.0,"['English', 'Deutsch']",Re-Animator,7.0,263.0,1985,2.248237777777778,"['Jeffrey Combs', 'Bruce Abbott', 'Barbara Crampton', 'David Gale', 'Robert Sampson', 'Carolyn Purdy-Gordon', 'Peter Kent', 'Ian Patrick Williams']",Stuart Gordon
Piranha Collection,['Horror'],en,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.",16.038604,['New World Pictures'],1978-08-03,0.0,['English'],Piranha,5.7,120.0,1978,0.0,"['Heather Menzies', 'Kevin McCarthy', 'Dick Miller', 'Keenan Wynn', 'Barbara Steele', 'Belinda Balaski', 'Melody Thomas Scott', 'Bruce Gordon', 'Barry Brown', 'Paul Bartel', 'Richard Deacon', 'Janie Squire', 'Guich Koock', 'Eric Braeden', 'Joe Dante', 'Amy Holden Jones', 'Phil Tippett', 'John Sayles', 'Bradford Dillman', 'Shannon Collins', 'Shawn Nelson', 'Roger Richman']",Joe Dante
Mister Roberts Collection,"['Comedy', 'Drama', 'Family', 'War']",en,"A hilarious and heartfelt military comedy-drama co-directed by John Ford and Mervyn LeRoy, Mister Roberts stars Henry Fonda as an officer who's yearning for battle but is stuck in the backwaters of World War II on a noncommissioned Navy ship run by the bullying Capt. Morton (James Cagney). Jack Lemmon enjoys a star-making turn as the freewheeling Ensign Pulver, and William Powell stars as the ship's doctor in his last screen role.  Based on the 1946 novel with the same name, by Thomas Heggen, and the 1948 Broadway play, written by Thomas Heggen and Joshua Logan. Henry Fonda also starred in the original Broadway production. Warner Bros. didn't want Fonda to star in the film, as they thought he was too old, and had been a stage player for so long (8 years), that he no longer was box office material. However, John Ford insisted on Fonda and the company eventually agreed.",2.593458,['Warner Bros.'],1955-07-13,0.0,['English'],Mister Roberts,7.3,43.0,1955,0.0,"['Henry Fonda', 'James Cagney', 'William Powell', 'Jack Lemmon', 'Betsy Palmer', 'Ward Bond', 'Philip Carey', 'Nick Adams', 'Perry Lopez', 'Ken Curtis', 'Robert Roark', 'Harry Carey, Jr.', 'Patrick Wayne', 'Frank Aletter', 'Tige Andrews']",John Ford
Meatballs Collection,['Comedy'],en,"Tripper is the head counselor at a budget summer camp called Camp Northstar. In truth, he's young at heart and only marginally more mature than the campers themselves. Tripper befriends Rudy, a loner camper who has trouble fitting in. As Tripper inspires his young charges to defeat rival Camp Mohawk in the annual Olympiad competition, Rudy plays matchmaker between Tripper and Roxanne, a female counselor at Northstar.",6.613063,"['Canadian Film Development Corporation (CFDC)', 'Famous Players']",1979-06-28,0.0,['English'],Meatballs,5.9,79.0,1979,0.0,"['Bill Murray', 'Harvey Atkin', 'Kate Lynch', 'Russ Banham', 'Kristine DeBell', 'Sarah Torgov', 'Jack Blum', 'Keith Knight', 'Cindy Girling', 'Todd Hoffman', 'Margot Pinvidic', 'Matt Craven', ""Norma Dell'Agnese"", 'Chris Makepeace']",Ivan Reitman
Meatballs Collection,['Comedy'],en,"The second in-name-only sequel to the first Meatballs summer camp movie sets us at Camp Sasquash where the owner Giddy tries to keep his camp open after it's threatened with foreclosure after Hershey, the militant owner of Camp Patton located just across the lake, wants to buy the entire lake area to expand Camp Patton. Giddy suggests settling the issue with the traditional end-of-the-summer boxing match over rights to the lake. Meanwhile, a tough, inner city punk, nicknamed Flash, is at Camp Sasquash for community service as a counselor-in-training where he sets his sights on the naive and intellectual Cheryl, while Flash's young charges befriend an alien, whom they name Meathead, also staying at the camp for the summer.",1.475532,"['TriStar Pictures', 'Space Productions']",1984-07-27,0.0,['English'],Meatballs Part II,3.5,13.0,1984,0.0,"['Richard Mulligan', 'Hamilton Camp', 'John Mengatti', 'Kim Richards', 'Archie Hahn', 'Misty Rowe', 'John Larroquette', 'Paul Reubens', 'Joe Nipote', 'Jason Hervey', 'Elayne Boosler', 'Nancy Glass', 'Felix Silla', 'Joaquin Martinez', 'Blackie Dammett', 'Donald Gibb']",Ken Wiederhorn
Meatballs Collection,['Comedy'],en,The ghost of a dead porn star comes to Earth to help a nerd with his sex life.,1.667607,"['Cinépix', 'Dalco']",1986-10-26,0.0,['English'],Meatballs III: Summer Job,4.4,14.0,1986,0.0,"['Patrick Dempsey', 'Sally Kellerman', 'Isabelle Mejias', 'Al Waxman', 'Shannon Tweed', 'Peter Snider', 'Jan Taylor Hendricks', 'Hudson Bishop', 'Mark Blutman', 'Justine Campbell', 'Peter Saecks', 'Caroline Arnold', 'Pamela Collyer', 'Colleen Passard', 'Willye Fleming', 'Maury Chaykin']",George Mendeluk
Meatballs Collection,['Comedy'],en,"Ricky is the hottest water-ski instructor around and he has just be rehired by his former employer/camp to whip up attendance. But the camp is in serious financial trouble and the owner of a rival, more popular, camp wants to buy them out. Therefore they will have to engage in a mean, winner-takes-all competition that will settle the row once and for all.",0.921189,[],1992-03-06,0.0,['English'],Meatballs 4,3.3,4.0,1992,0.0,"['Corey Feldman', 'Jack Nance', 'Sarah Douglas', 'J. Trevor Edmond', 'Neriah Davis', 'Kristi Ducati', 'Paige French', 'Lauren Hays', 'Miche Straube', 'Cristy Thom', 'Deborah Tucker']",Bob Logan
Pokémon Collection,['Animation'],ja,"The adventure explodes into action with the debut of Mewtwo, a bio-engineered Pokemon created from the DNA of Mew, the rarest of all Pokemon. Determined to prove its superiority, Mewtwo lures Ash, Pikachu and others into a Pokemon match like none before. Mewtwo vs. Mew. Super-clones vs. Pokemon. It's the ultimate showdown ... with the very future of the world at stake!",7.556826,"['TV Tokyo', '4 Kids Entertainment', 'Shogakukan Production', 'Media Factory', 'Nintendo', 'Creatures', 'Tomy', 'Oriental Light and Magic (OLM)', 'GAME FREAK', ""Pikachu Project '98"", 'JR Kikaku']",1998-07-18,163644662.0,['日本語'],Pokémon: The First Movie: Mewtwo Strikes Back,6.7,336.0,1998,5.454822066666667,"['Rica Matsumoto', 'Mayumi Iizuka', 'Yūji Ueda', 'Ikue Ōtani', 'Megumi Hayashibara', ""Shin'ichirou Miki"", 'Inuko Inuyama', 'Masachika Ichimura', 'Satomi Kōrogi', 'Kouichi Yamadera', 'Tōru Furuya', 'Raymond Johnson', 'Ayako Shiraishi', 'Chinami Nishimura', 'Sachiko Kobayashi', 'Yōsuke Akimoto', 'Hirotaka Suzuoki', 'Unshō Ishizuka', 'Aiko Sato', 'Wataru Takagi']",Michael Haigney
Barrytown Trilogy,"['Comedy', 'Drama', 'Music']",en,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",7.442056,"['Beacon Communications', 'Beacon Pictures', 'First Film Company', 'Dirty Hands Productions']",1991-08-14,0.0,"['English', '', 'Gaeilge']",The Commitments,7.4,132.0,1991,0.0,"['Robert Arkins', 'Michael Aherne', 'Angeline Ball', 'Maria Doyle Kennedy', 'Dave Finnegan', 'Bronagh Gallagher', 'Glen Hansard', 'Félim Gormley', 'Johnny  Murphy', 'Dick Massey', 'Colm Meaney', 'Ken McCluskey', 'Anne Kent', 'Ger Ryan', 'Andrew Strong', 'Andrea Corr', 'Gerard Cassoni', 'Liam Carney', ""Mark O'Regan"", 'Phelim Drew', 'John Cronin']",Alan Parker
Poison Ivy Collection,['Thriller'],en,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,6.901684,['New Line Cinema'],1992-05-08,0.0,['English'],Poison Ivy,5.2,85.0,1992,0.0,"['Sara Gilbert', 'Drew Barrymore', 'Tom Skerritt', 'Cheryl Ladd', 'Leonardo DiCaprio']",Katt Shea
Poison Ivy Collection,"['Thriller', 'Romance']",en,A sinister seductress vows to destroy a suburban family.,6.146452,"['New Line Cinema', 'CineTel Pictures', 'MG Entertainment']",1997-01-01,0.0,['English'],Poison Ivy: The New Seduction,4.1,28.0,1997,0.0,"['Jaime Pressly', 'Megan Edwards', 'Michael Des Barres', 'Greg Vaughan', 'Susan Tyrrell', 'Tenaya Erich', 'Trishalee Hardy', 'Sabrinah Christie', 'Merete Van Kamp', 'Gregory Vignolle', 'Athena Massey', 'Shanna Moakler', 'Terence Paul Winter', 'Susan Ward', 'Michael McLafferty']",Kurt Voss
The Up Series,"['Documentary', 'Foreign']",en,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.,0.697268,[],1998-07-28,0.0,['English'],42 Up,6.6,9.0,1998,0.0,"['Bruce Balden', 'Jacqueline Bassett', 'Symon Basterfield', 'Andrew Brackfield', 'John Brisby', 'Suzanne Dewey', 'Charles Furneaux', 'Nicholas Hitchon', 'Neil Hughes', 'Lynn Johnson', 'Paul Kligerman', 'Tony Walker', 'Susan Sullivan']",Michael Apted
James Bond Collection,"['Adventure', 'Action', 'Thriller']",en,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",12.130127,"['Eon Productions', 'Metro-Goldwyn-Mayer (MGM)']",1999-11-08,361832400.0,"['English', 'Pусский']",The World Is Not Enough,6.0,878.0,1999,2.68024,"['Pierce Brosnan', 'Sophie Marceau', 'Robert Carlyle', 'Denise Richards', 'Robbie Coltrane', 'Desmond Llewelyn', 'John Cleese', 'Maria Grazia Cucinotta', 'Samantha Bond', 'Michael Kitchen', 'Colin Salmon', 'David Calder', 'Serena Scott Thomas', 'Judi Dench', 'Ulrich Thomsen', 'Claude-Oliver Rudolph', 'Patrick Malahide', 'Omid Djalili', 'Jeff Nuttall', 'John Albasiny']",Michael Apted
Toy Story Collection,"['Animation', 'Comedy', 'Family']",en,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",17.547693,['Pixar Animation Studios'],1999-10-30,497366869.0,['English'],Toy Story 2,7.3,3914.0,1999,5.526298544444445,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'Wayne Knight', 'John Morris', 'Laurie Metcalf', 'Estelle Harris', 'R. Lee Ermey', 'Jodi Benson', 'Jonathan Harris', 'Joe Ranft', 'Andrew Stanton', 'Jeff Pidgeon', 'Corey Burton', 'John Lasseter', 'Mickie McGowan', 'Phil Proctor', 'Lee Unkrich']",John Lasseter
The Jake Gittes Collection,"['Crime', 'Drama', 'Mystery']",en,"This sequel to the classic Chinatown finds private detective Jake Gittes still haunted from the events of the first film. Hired by a man to investigate his wife's infidelities, Jake once again finds himself involved in a complicated plot involving murder, oil, and even some ghosts from his past.",4.476578,['Paramount Pictures'],1990-08-10,10000000.0,['English'],The Two Jakes,6.2,48.0,1990,0.5263157894736842,"['Jack Nicholson', 'Harvey Keitel', 'Meg Tilly', 'Madeleine Stowe', 'Rubén Blades', 'Eli Wallach', 'Frederic Forrest', 'David Keith', 'Richard Farnsworth', 'Tracey Walter', 'Joe Mantell', 'James Hong', 'Perry Lopez', 'Faye Dunaway', 'Tom Waits', 'Rebecca Broussard', 'Paul A. DiCocco Jr.', 'John Hackett']",Jack Nicholson
Deuce Bigalow Collection,['Comedy'],en,"Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail.",6.567794,"['Happy Madison Productions', 'Quinta Communications', 'Touchstone Pictures']",1999-12-10,65535067.0,['English'],Deuce Bigalow: Male Gigolo,5.4,314.0,1999,3.8550039411764705,"['Rob Schneider', 'William Forsythe', 'Eddie Griffin', 'Arija Bareikis', 'Oded Fehr', ""Gail O'Grady"", 'Richard Riehle', 'Jacqueline Obradors', 'Big Boy', 'Amy Poehler', 'Dina Platias', 'Torsten Voges', 'Deborah Lemen', 'Bree Turner', 'Jackie Sandler', 'Andrew Shaifer']",Mike Mitchell
The Last Picture Show Collection,['Drama'],en,The coming of age of a youth named Sonny in a small Texas town in the 1950s.,5.961382,"['Columbia Pictures Corporation', 'BBS Productions']",1971-10-03,29133000.0,['English'],The Last Picture Show,7.6,133.0,1971,22.41,"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson', 'Cloris Leachman', 'Ellen Burstyn', 'Eileen Brennan', 'Clu Gulager', 'Sam Bottoms', 'Sharon Ullrick', 'Randy Quaid', 'Bill Thurman', 'Jessie Lee Fulton', 'Helena Humann', 'Barc Doyle', 'Gary Brockette', 'John Hillerman', 'Joe Heathcock', 'Kimberly Hyde', 'Noble Willingham', ""Janice O'Malley"", 'Grover Lewis']",Peter Bogdanovich
The Sinbad Collection,"['Action', 'Adventure', 'Family', 'Fantasy']",en,"When a princess is shrunken by an evil wizard, Sinbad must undertake a quest to an island of monsters to cure her and prevent a war.",11.118379,"['Columbia Pictures Corporation', 'Morningside Productions']",1958-12-05,0.0,['English'],The 7th Voyage of Sinbad,6.8,52.0,1958,0.0,"['Kerwin Mathews', 'Kathryn Grant', 'Torin Thatcher', 'Richard Eyer', 'Alec Mango', 'Danny Green', 'Harold Kasket', 'Alfred Brown', 'Nana DeHerrera', 'Nino Falanga', 'Luis Guedes', 'Virgílio Teixeira']",Nathan H. Juran
