title,genres,overview,director,production_companies
Left Behind,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","Rayford Steele is an airline pilot whose relationship with his wife has gone sour;he ponders having an affair with an attractive flight attendant, Hattie Durham. In the midst of a flight to London, a number of their passengers mysteriously disappear, and chaos takes hold as a number of vehicles on the ground and in the air are suddenly unmanned. Meanwhile, Buck Williams, a television journalist, is pondering the rash of sudden disappearances as he works on a report about Dr. Chaim Rosenzweig, an Israeli scientist who has devised a formula that would make any soil on earth easy to cultivate. However, Buck wonders if there's more to Rosenzweig than he first imagined when he discovers the doctor is in cahoots with two multi-millionaires who plan to broker the invention to promote their own agenda of international domination.",Vic Sarin,['Cloud Ten Pictures']
In the Mood for Love,"['Drama', 'Romance']",A melancholy story about the love between a woman and a man who live in the same building and one day find out that their husband and wife had an affair with each other. More and more the two meet during their daily lives as they determine that they both don’t want to be lonely in their marriage.,Wong Kar-wai,"['Block 2 Pictures', 'Jet Tone Production']"
Hannibal,"['Crime', 'Drama', 'Thriller', 'Horror']","After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who is suffering the wrath of a malicious FBI rival as well as the media.",Ridley Scott,"['Universal Pictures', 'Scott Free Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company']"
Recess: School's Out,"['Science Fiction', 'Animation', 'Comedy', 'Family']","Recess: School's Out is a 2001 animated film based on the Disney television series Recess. This film was produced by Walt Disney Pictures and was released theatrically nationwide on February 16, 2001.It's the most exciting time of year at Third Street Elementary-- the end of the School Year! But boredom quickly sets in for protagonist TJ Detweiler, as his friends are headed for Summer Camp. One day, while passing by the school on his bike, he notices a green glow coming from the school's auditorium. This is the work of the insidious ex-principal of Third Street, Phillium Benedict and his gang of ninjas and secret service look-alikes! Benedict is planning to get rid of Summer Vacation using his newly-acquired Tractor Beam, which he stole from the US Military Base in an effort to raise US Test Scores, and it's up to the Recess Gang to stop him! In the end.",Chuck Sheetz,"['Walt Disney Television Animation', 'Disney Toon Studio']"
Demetrius and the Gladiators,"['Action', 'Adventure', 'Drama', 'History']","The story picks up at the point where ""The Robe"" ends, following the martyrdom of Diana and Marcellus. Christ's robe is conveyed to Peter for safe-keeping, but the emperor Caligula wants it back to benefit from its powers. Marcellus' former slave Demetrius seeks to prevent this, and catches the eye of Messalina, wife to Caligula's uncle Claudius. Messalina tempts Demetrius, he winds up fighting in the arena, and wavers in his faith.",Delmer Daves,['Twentieth Century Fox Film Corporation']
The Abominable Dr. Phibes,"['Comedy', 'Horror']","Famous organist Anton Phibes is horribly disfigured in an automobile accident while rushing to the side of his sick wife and presumed to be dead. Once Phibes learns that his wife died on the operating table, he is convinced the doctor's are responsible and begins exacting his revenge on all those involved.",Robert Fuest,['American International Pictures (AIP)']
Manhunter,"['Crime', 'Horror', 'Thriller']","FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",Michael Mann,"['De Laurentiis Entertainment Group (DEG)', 'Red Dragon Productions S.A.']"
Revenge of the Nerds,['Comedy'],"At Adams College, the jocks rule the school from their house on high, the Alpha Beta fraternity. So when a group of socially-challenged misfits try to go Greek, they're instantly rejected by every house on campus. Deciding to start their own fraternity to protect their outcast brothers, the campus nerds soon find themselves in a battle royale as the Alpha Betas try to crush their new rivals.",Jeff Kanew,"['Twentieth Century Fox Film Corporation', 'Interscope Communications', 'Zacharias-Buhai Productions']"
Revenge of the Nerds II: Nerds in Paradise,['Comedy'],"The members of the Lambda Lambda Lambda fraternity travel to Fort Lauderdale for a fraternity conference. They'll have to beat off the attacks of their rival frat, the Alphas, if they want to maintain their self-respect -- and, of course, if they want to get anywhere with the pretty girls!",Joe Roth,"['Twentieth Century Fox Film Corporation', 'Amercent Films', 'American Entertainment Partners L.P.', 'Interscope Communications']"
C.H.U.D.,"['Horror', 'Science Fiction']","A rash of bizarre murders in New York City seems to point to a group of grotesquely deformed vagrants living in the sewers. A courageous policeman, a photo journalist and his girlfriend, and a nutty bum, who seems to know a lot about the creatures, band together to try and determine what the creatures are and how to stop them.",Douglas Cheek,"['New World Pictures', 'C.H.U.D. Productions']"
Spy Kids,"['Action', 'Comedy', 'Family', 'Adventure']","Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",Robert Rodriguez,"['Dimension Films', 'Troublemaker Studios', 'Miramax']"
Along Came a Spider,"['Crime', 'Mystery', 'Thriller', 'Action']","When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath. Every second counts as Alex and Jezzie attempt to track down the kidnapper before the spider claims another victim for its web.",Lee Tamahori,"['Paramount Pictures', 'AZL Productions KG', 'David Brown Productions', 'MFP Munich Film Partners', 'Phase 1 Productions', 'Revelations Entertainment']"
Just Visiting,"['Comedy', 'Fantasy', 'Science Fiction']","A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard.",Jean-Marie Poiré,"['Gaumont', 'Hollywood Pictures', 'Bruin Grip Services']"
Pokémon: Spell of the Unknown,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']","When Molly Hale's sadness of her father's disappearance get to her, she unknowingly uses the Unown to create her own dream world along with Entei, who she believes to be her father. When Entei kidnaps Ash's mom, Ash along with Misty & Brock invade the mansion looking for his mom and trying to stop the mysteries of Molly's Dream World and Entei!",Michael Haigney,"['TV Tokyo', '4 Kids Entertainment', 'Nintendo', 'Pikachu Project', 'Oriental Light and Magic (OLM)', ""Kids' WB"", 'Pikachu Project 2001', 'Shoakuken']"
Bridget Jones's Diary,"['Comedy', 'Romance', 'Drama']","A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",Sharon Maguire,"['Miramax Films', 'Universal Pictures', 'Studio Canal', 'Working Title Films', 'Little Bird']"
Joe Dirt,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']","Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks.",Dennie Gordon,"['Columbia Pictures', 'Happy Madison Productions']"
Crocodile Dundee in Los Angeles,"['Adventure', 'Comedy']","After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",Simon Wincer,"['Bungalow Productions', 'Silver Lion Films', 'Vision View Entertainment']"
The Mummy Returns,"['Adventure', 'Action', 'Fantasy']","Rick and Evelyn O'Connell, along with their 8 year old son Alex, discover the key to the legendary Scorpion King's might, the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn't above kidnapping its new bearer, Alex, to gain control of Anubis' otherworldly army.",Stephen Sommers,"['Universal Pictures', 'Alphaville Films', 'Imhotep Productions']"
Shrek,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Andrew Adamson,"['DreamWorks SKG', 'Pacific Data Images (PDI)', 'DreamWorks Animation']"
City Slickers,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",New York meets the west in this comedy starring Billy Crystal. Three New York business men decide to take a 'Wild West' vacation that turns out to not be the relaxing vacation they had envisioned.,Ron Underwood,"['Columbia Pictures', 'New Line Cinema', 'Castle Rock Entertainment']"
La Notte,['Drama'],A married couple attend a bourgeois party and wade through the stifling strain that long-term marriage has imposed upon them.,Michelangelo Antonioni,"['Silver Films', 'Nepi Film', 'Sofitedip']"
The Magnificent Seven,['Western'],An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,John Sturges,"['The Mirisch Corporation', 'Alpha Productions']"
Return of the Seven,['Western'],"Chico one of the remaining members of The Magnificent Seven now lives in the town that they (The Seven) helped. One day someone comes and takes most of the men prisoner. His wife seeks out Chris, the leader of The Seven for help. Chris also meets Vin another member of The Seven. They find four other men and they go to help Chico.",Burt Kennedy,"['C.B. Films S.A.', 'The Mirisch Production Company']"
Atlantis: The Lost Empire,"['Animation', 'Family', 'Adventure', 'Science Fiction']","The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",Gary Trousdale,"['Walt Disney Pictures', 'Walt Disney Feature Animation']"
Lara Croft: Tomb Raider,"['Adventure', 'Fantasy', 'Action', 'Thriller']","English aristocrat Lara Croft is skilled in hand-to-hand combat and in the middle of a battle with a secret society. The shapely archaeologist moonlights as a tomb raider to recover lost antiquities and meets her match in the evil Powell, who's in search of a powerful relic.",Simon West,"['Paramount Pictures', 'Toho-Towa', 'Mutual Film Company', 'Lawrence Gordon Productions', 'British Broadcasting Corporation (BBC)', 'Marubeni', 'Eidos Interactive']"
Dr. Dolittle 2,"['Comedy', 'Family', 'Romance', 'Fantasy']","Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",Steve Carr,"['Twentieth Century Fox Film Corporation', 'Joseph M. Singer Entertainment', 'Davis Entertainment']"
The Fast and the Furious,"['Action', 'Crime', 'Thriller']","Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD.",Rob Cohen,"['Universal Pictures', 'Original Film', 'Ardustry Entertainment', 'Mediastream Film GmbH & Co. Productions KG']"
The Crimson Rivers,"['Crime', 'Mystery', 'Thriller']","Two French policemen, one investigating a grisly murder at a remote mountain college, the other working on the desecration of a young girl's grave by skinheads, are brought together by the clues from their respective cases. Soon after they start working together, more murders are committed, and the pair begin to discover just what dark secrets are behind the killings.",Mathieu Kassovitz,['Gaumont International']
Cats & Dogs,"['Comedy', 'Family']","When a professor develops a vaccine that eliminates human allergies to dogs, he unwittingly upsets the fragile balance of power between cats and dogs and touches off an epic battle for pet supremacy. The fur flies as the feline faction, led by Mr. Tinkles, squares off against wide-eyed puppy Lou and his canine cohorts.",Lawrence Guterman,"['Village Roadshow Pictures', 'NPV Entertainment', 'Mad Chance', 'Zide-Perry Productions', 'Warner Bros.', 'BenderSpink']"
Scary Movie 2,['Comedy'],"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",Keenen Ivory Wayans,"['Gold/Miller Productions', 'Wayans Bros. Entertainment', 'Dimension Films', 'Brad Grey Pictures']"
Beach Blanket Bingo,['Comedy'],"In the fourth of the highly successful Frankie and Annette beach party movies, a motorcycle gang led by Eric Von Zipper kidnaps singing star Sugar Kane managed by Bullets, who hires sky-diving surfers Steve and Bonnie from Big Drop for a publicity stunt. With the usual gang of kids and a mermaid named Lorelei.",William Asher,"['alta vista productions', 'American International Pictures (AIP)']"
Big Deal on Madonna Street,"['Crime', 'Comedy']","Peppe, formerly a boxer, organizes the break-in of a pawnshop. Tiberio, an unemployed photographer, Mario, a receiver, the Sicilian Michele and Capannelle, an ex-jockey, are the other members of the gang. Though they are advised by Dante, a retired burglar, the task is not so easy...",Mario Monicelli,['Lux Vide']
The Cannonball Run,['Comedy'],"A cross-country road race is based on an actual event, the Cannonball Baker Sea to Shining Sea Memorial Trophy Dash, organized by Brock Yates to protest the 55 mph speed limit then in effect in the U.S. The Cannonball was named for Erwin G. ""Cannonball"" Baker, who in the roaring 20's rode his motorcycle across the country. Many of the characters are based on ruses developed by real Cannonball racers over the several years that the event was run.",Hal Needham,['Eurasia Investments']
Cannonball Run II,"['Action', 'Comedy']",The original characters from the first Cannonball Run movie compete in an illegal race across the country once more in various cars and trucks.,Hal Needham,"['Golden Harvest Company', 'Warner Bros.']"
Speed Zone,"['Action', 'Comedy']","An illegal race that takes place over the United States and nothing will stop this bunch of racers except for the occasional cop or a damsel in distress. Jackie Chan's car is not in this one, but many new cars make up for that. Who will win? Who will crash? Who will not even finish? Sit down and buckle up for the ride of your life.",Jim Drake,['Entcorp Communications']
Dr. Goldfoot and the Bikini Machine,"['Comedy', 'Science Fiction']",In this campy spy movie spoof Dr. Goldfoot (Vincent Price) has invented an army of bikini-clad robots who are programmed to seek out wealthy men and charm them into signing over their assets. Secret agent Craig Gamble (Frankie Avalon) and millionaire Todd Armstrong set out to foil his fiendish plot.,Norman Taurog,['American International Pictures (AIP)']
Nice Dreams,['Comedy'],"Cheech and Chong house sit for a marijuana grower and rip off the crop. Stalked by keystone-style cops, Los Guys have a series of encounters with L.A. area characters even weirder than themselves",Tommy Chong,"['Columbia Pictures', 'C & C Brown Production']"
Things Are Tough All Over,"['Action', 'Comedy']","Cheech and Chong are hired to drive a limo from Chicago to Las Vegas by two shady Arabs - Mr. Slyman and Prince Habib. Unbeknownst to them, five million dollars of dirty money has been stuffed throught the car.",Thomas K. Avildsen,['C & C Brown Production']
Suspiria,['Horror'],"From the moment she arrives in Freiberg, Germany, to attend the prestigious Tans Academy, American ballet-dancer Suzy Bannion senses that something horribly evil lurks within the walls of the age-old institution.",Dario Argento,['Seda Spettacoli']
Final Fantasy: The Spirits Within,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']","Led by a strange dream, scientist Aki Ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet. With the aid of the Deep Eyes Squadron and her mentor, Dr. Sid, Aki must save the Earth from its darkest hate and unleash the spirits within.",Hironobu Sakaguchi,"['Columbia Pictures', 'Square USA', 'Chris Lee Productions']"
Legally Blonde,['Comedy'],"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",Robert Luketic,"['Marc Platt Productions', 'Metro-Goldwyn-Mayer (MGM)']"
Arthur 2: On the Rocks,"['Comedy', 'Romance']","Arthur (Dudley Moore), that irrepressible drunk, tries to sober up -- and get a job -- in this sequel to the 1981 smash hit. Meanwhile, the father of the girl Arthur stood up at the altar in the first film is conniving to trick the hapless boozer into marrying his daughter so he can gain entrée to Arthur's $750 million fortune.",Bud Yorkin,['Warner Bros.']
Big Top Pee-wee,"['Comedy', 'Family']","Paul Reubens stars as Pee-wee Herman in his second full-length film about a farmer who joins the circus after a storm drops a big tent in his front yard. Pee-wee, along with an outlandish cast of animals and circus performers, puts on the best show ever.",Randal Kleiser,['Paramount Pictures']
Caddyshack II,['Comedy'],"When a crass new-money tycoon's membership application is turned down at a snooty country club, he retaliates by buying the club and turning it into a tacky amusement park.",Allan Arkush,"['The Guber-Peters Company', 'Warner Bros.']"
Critters,"['Action', 'Comedy', 'Horror', 'Science Fiction', 'Thriller']",A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.,Stephen Herek,"['New Line Cinema', 'Smart Egg Pictures', 'Sho Films']"
Critters 2,"['Comedy', 'Horror', 'Science Fiction', 'Thriller']","A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again.",Mick Garris,"['New Line Cinema', 'Sho Films']"
Critters 3,"['Comedy', 'Horror', 'Science Fiction', 'Thriller']","In what appears to be a cross between Critters and The Towering Inferno, the residents of a shoddy L.A. apartment block are chased up to the roof by hoards of the eponymous hairy horrors.",Kristine Peterson,"['New Line Cinema', 'OH Films']"
The Dead Pool,"['Action', 'Crime', 'Thriller']","Dirty Harry Callahan returns for his final film adventure. Together with his partner Al Quan, he must investigate the systematic murder of actors and musicians. By the time Harry learns that the murders are a part of a sick game to predict the deaths of celebrities before they happen, it may be too late...",Buddy Van Horn,"['Malpaso Productions', 'Warner Bros.']"
"Elvira, Mistress of the Dark","['Fantasy', 'Horror', 'Comedy', 'Science Fiction']",When her great aunt dies famed horror hostess Elvira heads for the uptight new England town to Falwell to claim her inheritance of a haunted house a witches cookbook and a punk rock poodle. But once the stuffy locals get an eyeful of the scream queens ample assets all hell busts out &amp; breaks loose.,James Signorelli,"['New World Pictures', 'NBC Productions']"
Ernest Saves Christmas,"['Comedy', 'Family']","When Santa Claus decides to retire and pass on his magic bag of Christmas surprises to a new Saint Nick, he enlists the aid of a hilarious assortment of characters. A perky teen runaway and hapless taxi driver Ernest P. Worrell must convince a skeptical kiddie-show host to take over the post of Father Christmas.",John R. Cherry III,['Touchstone Pictures']
Howling IV: The Original Nightmare,['Horror'],"An author who was sent to the town Drakho, because of a nervous breakdown, gets wound up in a mystery revolving around demons and werewolves.  She starts seeing ghosts and dismisses them as her own imagination, but when they turn out to be real she becomes suspicious of the odd town and of its past.",John Hough,['Allied Entertainments Group PLC']
The Land Before Time,"['Animation', 'Adventure', 'Family']","An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive.",Don Bluth,"['Lucasfilm', 'Universal Pictures', 'Amblin Entertainment', 'Sullivan Bluth Studios', 'U-Drive Productions', 'Universal City Studios']"
Return of the Living Dead Part II,"['Comedy', 'Horror']","A group of kids discover one of the drums containing a rotting corpse and release the 2-4-5 Trioxin gas into the air, causing the dead to once again rise from the grave and seek out brains.",Ken Wiederhorn,['Greenfox']
The Return of the Living Dead,"['Comedy', 'Horror']","When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!",Dan O'Bannon,"['Hemdale Film Corporation', 'Fox Films Ltd.', 'Cinema 84']"
Return to Snowy River,"['Adventure', 'Drama', 'Action', 'Western', 'Family']","After a few years trying to earn money to marry Jessica Harrison (Sigrid Thornton), Jim Craig (Tom Burlinson) returns to Snowy River. But he finds that a lot of things have changed.",Geoff Burrowes,"['Walt Disney Pictures', 'Burrowes Film Group', 'Hoyts Film Partnership']"
The Man from Snowy River,"['Family', 'Drama', 'Action', 'Western', 'Romance']","Jim Craig has lived his first 18 years in the mountains of Australia on his father's farm. The death of his father forces him to go to the low lands to earn enough money to get the farm back on its feet. Kirk Douglas plays two roles as twin brothers who haven't spoken for years, one of whom was Jim's father's best friend and the other of whom is the father of the girl he wants to marry.",George T. Miller,"['Twentieth Century Fox Film Corporation', 'Cambridge Productions']"
Short Circuit 2,"['Comedy', 'Family', 'Science Fiction', 'Drama']",Robot Johnny Five comes to the city and gets manipulated by criminals who want him for their own purposes.,Kenneth Johnson,"['David Foster Productions', 'TriStar Pictures']"
Short Circuit,"['Comedy', 'Family', 'Science Fiction']","After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.",John Badham,"['PSO International', 'David Foster Productions', 'TriStar Pictures']"
Tetsuo: The Iron Man,"['Horror', 'Science Fiction']","Tetsuo: The Iron Man is a 1989 Japanese cyberpunk film by cult-film director Shinya Tsukamoto produced by Japan Home Video. This, his third film, is an extremely graphic but also strikingly-filmed fantasy shot in the same low-budget, underground-production style as his first two films. Revolving around the transformation of people into grotesque hybrids of flesh and metal, Tetsuo is above all an overwhelming audiovisual experience, set to a brain-pounding score by Chu Ishikawa and complemented by suitably exaggerated sound effects.",Shinya Tsukamoto,[]
Waxwork,"['Horror', 'Comedy']","Wealthy slacker college student Mark, his new girlfriend Sarah, and their friends are invited to a special showing at a mysterious wax museum which displays 18 of the most evil men of all time. After his ex-girlfriend and another friend disappear, Mark becomes suspicous. What he doesn't know is that they have been made a part of the exhibit, by first living out the scene and then being murdered in.",Anthony Hickox,"['Vestron Pictures', 'Contemporary Films', 'Palla', 'HB Filmrullen']"
American Ninja,"['Action', 'Adventure']","Joe Armstrong, an orphaned drifter will little respect for much other than martial arts, finds himself on an American Army base in The Philippines after a judge gives him a choice of enlistment or prison. On one of his first missions driving a convoy, his platoon is attacked by a group of rebels who try to steal the weapons the platoon is transporting and kidnap the base colonel's daughter.",Sam Firstenberg,"['Cannon Group', 'Golan-Globus']"
American Ninja 2: The Confrontation,"['Action', 'Adventure', 'Drama']","On a remote Caribbean island, Army Ranger Joe Armstrong saves an old friend from the clutches of ""The Lion"", an evil super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja warriors.",Sam Firstenberg,"['Cannon Group', 'Golan-Globus']"
American Ninja 3: Blood Hunt,"['Action', 'Adventure', 'Drama']","Jackson is back, and now he has a new partner, karate champion Sean, as they must face a deadly terrorist known as ""The Cobra"", who has infected Sean with a virus. Sean and Jackson have no choice but to fight the Cobra and his bands of ninjas.",Cedric Sundstrom,"['Cannon Group', 'Breton Film Productions']"
Best of the Best 2,"['Action', 'Thriller']","In an underground fight club, blackbelt Travis Brickley is killed after losing to the evil martial arts master Brakus. Travis' death is witnessed by Walter Grady, the son of his best friend Alex Grady. Alex and his partner, Tommy Lee, vow to avenge their friend's death by defeating Brakus and shutting down the fight club.",Robert Radler,"['The Movie Group', 'Picture Securities']"
Bill & Ted's Excellent Adventure,"['Adventure', 'Comedy', 'Science Fiction']","In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",Stephen Herek,['Orion Pictures']
C.H.U.D. II: Bud the Chud,"['Horror', 'Comedy', 'Science Fiction']","A military experiment to create a race of super-warriors go awry, and legions of murderous zombies are unleased upon a surburan neighborhood.",David Irving,"['Management Company Entertainment Group (MCEG)', 'Vestron Pictures']"
Cyborg,"['Action', 'Science Fiction']",A martial artist hunts a killer in a plague-infested urban dump of the future.,Albert Pyun,"['Cannon Group', 'Golan-Globus']"
Dream a Little Dream,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']","Bobby Kellar has a crush on Lainie Diamond, girlfriend of school jerk Joel. Coleman is working on an experiment which will help him move into a place where Dreams are reality. When an accident occurs Coleman finds himself in Bobby's body and can only contact Bobby in his dreams.",Marc Rocco,"['Lightning Pictures', 'Vestron Pictures']"
Eddie and the Cruisers II: Eddie Lives!,"['Drama', 'Thriller', 'Music']","In the sixties, Eddie and the cruisers was the hottest band around. But the tragic death of its lead singer broke the band up. Only Eddie is not dead. He works as a carpenter in Montreal. His love of music forces him to create a new band which will have to struggle with its anonymity.",Jean-Claude Lord,[]
Eddie and the Cruisers,"['Drama', 'Music']",Michael Paré stars as Eddie Wilson of the rock band Eddie and Cruisers. The band is at the height of their career in the 1960s when front man Eddie drives his car off a bridge in an apparent suicide -- but the body was never found.,Martin Davidson,"['Aurora Productions', 'Embassy Pictures']"
K-9,"['Action', 'Comedy', 'Crime']","The extravagant cop Michael Dooley needs some help to fight a drug dealer who has tried to kill him. A ""friend"" gives him a dog named Jerry Lee (Officer Lewis), who has been trained to smell drugs. With his help, Dooley sets out to put his enemy behind the bars, but Jerry Lee has a personality of his own and works only when he wants to. On the other hand, the dog is quite good at destroying Dooley's car, house and sex-life...",Rod Daniel,"['Universal Pictures', 'Gordon Company']"
Kickboxer,"['Action', 'Thriller']","If your enemy refuses to be humbled... Destroy him. Accompanied by his brother Kurt (Van Damme), American kickboxing champion Eric Sloane (Dennis Alexio), arrives in Thailand to defeat the Eastern warriors at their own sport. His opponent: ruthless fighter and Thai champion, Tong Po. Tong not only defeats Eric, he paralyzes him for life. Crazed with anger, Kurt vows revenge.",Jean-Claude Van Damme,['Kings Road Entertainment']
Look Who's Talking,"['Comedy', 'Romance']","Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late",Amy Heckerling,"['TriStar Pictures', 'Management Company Entertainment Group (MCEG)']"
Major League,['Comedy'],"When Rachel Phelps inherits the Cleveland Indians from her deceased husband, she's determined to move the team to a warmer climate -- but only a losing season will make that possible, which should be easy given the misfits she's hired. Rachel is sure her dream will come true, but she underestimates their will to succeed!",David S. Ward,"['Paramount Pictures', 'Mirage Enterprises']"
Jurassic Park III,"['Adventure', 'Action', 'Thriller', 'Science Fiction']","In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",Joe Johnston,"['Universal Studios', 'Amblin Entertainment']"
The Return of Swamp Thing,"['Horror', 'Science Fiction']","The Swamp Thing returns to battle the evil Dr. Arcane, who has a new science lab full of creatures transformed by genetic mutation, and chooses Heather Locklear as his new object of affection.",Jim Wynorski,['Lightyear Entertainment']
The Return of the Musketeers,"['Comedy', 'Action', 'Adventure']","It's 1649: Mazarin hires the impoverished D'Artagnan to find the other musketeers: Cromwell has overthrown the English king, so Mazarin fears revolt, particularly from the popular Beaufort. Porthos, bored with riches and wanting a title, signs on, but Aramis, an abbé, and Athos, a brawler raising an intellectual son, assist Beaufort in secret. When they fail to halt Beaufort's escape from prison, the musketeers are expendable, and Mazarin sends them to London to rescue Charles I. They are also pursued by Justine, the avenging daughter of Milady de Winter, their enemy 20 years ago. They must escape England, avoid Justine, serve the Queen, and secure Beauford's political reforms.",Richard Lester,[]
Road House,"['Action', 'Thriller']","The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton (Patrick Swayze) has been hired to clean it up. He might not look like much, but the Ph.D.-educated bouncer proves he's more than capable -- busting the heads of troublemakers and turning the roadhouse into a jumping hot-spot. But Dalton's romance with the gorgeous Dr. Clay (Kelly Lynch) puts him on the bad side of cutthroat local big shot Brad Wesley (Ben Gazzara).",Rowdy Herrington,"['United Artists', 'Star Partners II Ltd.', 'Silver Pictures']"
Stepfather II: Make Room For Daddy,"['Horror', 'Thriller']","The Stepfather escapes an insane asylum and winds up in another town, this time impersonating a marriage counselor. Now he seems to have found the perfect future wife, with a stepson who loves him. However, other people try to get in his way to marry her. They are interfering! One by one the Stepfather eliminates anyone who stands in his way to a perfect family.",Jeff Burr,"['Incorporated Television Company (ITC)', 'Part II Productions', 'Millimeter Films']"
